member_id,full_name,gender,birth_year,phone,register_date,home_branch
M0001,วรรณภา สุวรรณรัตน์,F,2007,0643327781,2024-06-21,cmu
M0002,เอกชัย สุขสวัสดิ์,M,1992,0603135205,2023-02-27,thaphae
M0003,สิทธิชัย วงศ์ใหญ่,M,1995,0803678310,2023-06-10,nimman
M0004,ปวีณา สุขสวัสดิ์,F,1995,0980043575,2023-10-09,thaphae
M0005,กมลชนก ศรีสุข,F,2005,0643342626,2025-04-02,cmu
M0006,นพดล คำแสน,M,1996,0810803698,2023-05-31,nimman
M0007,ภาคิน เชียงทอง,M,2005,0889998416,2023-08-30,cmu
M0008,ณัฐวุฒิ ยอดเมือง,M,2008,0857538374,2023-01-30,cmu
M0009,วรรณภา ปัญญาดี,F,2008,0922427183,2024-09-06,nimman
M0010,นพดล แก้วมณี,M,1989,0834566803,2023-01-02,nimman
M0011,ชนิดา อินทร์แก้ว,F,1989,0618804848,2025-10-21,nimman
M0012,ชยพล อินทร์แก้ว,M,1975,0913602804,2023-08-15,nimman
M0013,ปกรณ์ ปิ่นแก้ว,M,2006,0981333205,2024-01-27,cmu
M0014,สุภาวดี พรหมมา,F,1997,0680960710,2023-05-07,nimman
M0015,กฤษดา นันทะ,M,2003,0671865194,2023-02-18,cmu
M0016,กิตติพัฒน์ สมบูรณ์,M,2007,0859891893,2024-06-30,cmu
M0017,ธิดารัตน์ เชียงทอง,F,2005,0637541632,2023-07-31,cmu
M0018,กมลชนก เรือนคำ,F,2002,0936444863,2025-10-11,nimman
M0019,อนุชา บุญมา,M,2007,0849534263,2024-08-30,thaphae
M0020,เอกชัย แสงทอง,M,1993,0903157938,2023-08-23,nimman
M0021,พัชรินทร์ ธรรมวงศ์,F,2006,0989915169,2023-02-27,cmu
M0022,ศุภชัย แสงทอง,M,1989,0659060969,2024-09-08,thaphae
M0023,ชนิดา เรือนคำ,F,2008,0842440579,2023-12-29,nimman
M0024,นพดล ศรีวิชัย,M,1985,0826147142,2024-08-10,thaphae
M0025,จิราพร คำแสน,F,1998,0619598531,2023-04-21,thaphae
M0026,ศิริพร กาวิละ,F,1995,0997694931,2024-04-02,thaphae
M0027,ธิดารัตน์ อุดมศักดิ์,F,1999,0827378009,2024-07-23,nimman
M0028,ศิริพร คำแสน,F,2007,0961376105,2024-05-20,cmu
M0029,ธีรภัทร แก้วมณี,M,2006,0914310591,2024-03-19,cmu
M0030,สมหญิง แก้วมณี,F,1988,0969886341,2024-04-17,thaphae
M0031,นันทนา คำมูล,F,2002,0996027535,2025-09-15,nimman
M0032,ชนิดา อินต๊ะ,F,2004,0612008917,2024-08-08,nimman
M0033,สมหญิง จันทร์หอม,F,1995,0649019237,2023-07-27,thaphae
M0034,พัชรินทร์ กันยา,F,1981,0681758196,2025-07-11,nimman
M0035,นพดล สมบูรณ์,M,1989,0853598294,2025-02-10,thaphae
M0036,ณัฐธิดา ศรีสุข,F,2006,0831310705,2025-05-03,cmu
M0037,ปิยะดา กันยา,F,2003,0803182298,2023-08-28,cmu
M0038,ธิดารัตน์ สายสุข,F,2008,0825031901,2023-08-02,cmu
M0039,กัญญาณัฐ ศรีสุข,F,2004,0967258866,2025-08-04,cmu
M0040,ธนากร ศรีสุข,M,2000,0924469833,2025-04-23,thaphae
M0041,เอกชัย อินทร์แก้ว,M,2003,0861614827,2025-03-01,cmu
M0042,ณัฐธิดา อินต๊ะ,F,2001,0615455059,2024-04-23,nimman
M0043,กัญญาณัฐ วงศ์ใหญ่,F,1982,0649075227,2024-11-29,thaphae
M0044,มณีรัตน์ เชียงทอง,F,1979,0982470887,2024-12-10,nimman
M0045,ภาคิน ทองดี,M,2006,0887633467,2025-01-05,cmu
M0046,กิตติพัฒน์ สุวรรณรัตน์,M,1988,0983507445,2023-08-24,thaphae
M0047,ชยพล อินต๊ะ,M,2003,0961728725,2023-05-02,cmu
M0048,ธนากร วงศ์ใหญ่,M,1977,0923518771,2025-02-14,thaphae
M0049,พงศกร สุวรรณรัตน์,M,2005,0613223317,2024-08-25,nimman
M0050,ภูมิพัฒน์ ไชยวงศ์,M,2008,0875718244,2025-06-17,cmu
M0051,นพดล ปันแก้ว,M,1990,0843372971,2023-12-10,nimman
M0052,อนุชา ศักดิ์ดี,M,1988,0638392570,2025-10-15,nimman
M0053,พัชรินทร์ สุวรรณรัตน์,F,2008,0994648895,2025-05-16,cmu
M0054,อนุชา แก้วมณี,M,2006,0944444457,2024-08-27,cmu
M0055,สมชาย ศักดิ์ดี,M,2001,0870879681,2025-09-01,thaphae
M0056,พงศกร แสงทอง,M,1993,0666943956,2023-11-21,nimman
M0057,สิทธิชัย สุวรรณรัตน์,M,1999,0997408066,2023-07-30,nimman
M0058,ณัฐธิดา คำมูล,F,1994,0697126984,2023-09-15,nimman
M0059,อัญชิสา นันทะ,F,1991,0849462776,2025-04-25,nimman
M0060,มณีรัตน์ บุญมา,F,2004,0605539802,2023-08-16,nimman
M0061,มณีรัตน์ สายสุข,F,2007,0833713211,2023-08-03,cmu
M0062,วรรณภา ปันแก้ว,F,2008,0967619146,2024-03-17,cmu
M0063,กฤษดา จันทร์แก้ว,M,2002,0879044121,2023-07-22,thaphae
M0064,อนุชา ธรรมวงศ์,M,2005,0895862621,2023-10-06,cmu
M0065,วรรณภา ทาคำ,F,1988,0624863200,2023-06-27,nimman
M0066,สมหญิง วงศ์ใหญ่,F,2003,0996828025,2023-02-25,cmu
M0067,นพดล สุขสวัสดิ์,M,2000,0976117191,2025-03-08,thaphae
M0068,จิราพร ปัญญาดี,F,2006,0670817624,2023-05-10,cmu
M0069,จิราพร อุดมศักดิ์,F,1994,0958387997,2023-09-28,nimman
M0070,พิมพ์ชนก ธรรมวงศ์,F,2006,0613749078,2025-10-02,cmu
M0071,จิรายุ อินทร์แก้ว,M,1993,0940920546,2025-08-16,thaphae
M0072,ธิดารัตน์ สุวรรณรัตน์,F,1993,0994873272,2024-01-04,nimman
M0073,เบญญาภา บัวบาน,F,2007,0604297356,2024-06-26,cmu
M0074,อนุชา ทองดี,M,1997,0608349803,2025-03-31,nimman
M0075,ปิยะดา สายสุข,F,1997,0825547727,2023-09-10,nimman
M0076,ปิยะดา ทาคำ,F,1997,0863795141,2024-05-07,nimman
M0077,ภาคิน สุวรรณรัตน์,M,2006,0680395112,2025-11-30,cmu
M0078,ศิริพร สมบูรณ์,F,1997,0612210113,2023-03-20,thaphae
M0079,ณัฐวุฒิ มีสุข,M,1992,0987507064,2025-08-23,thaphae
M0080,สุภาวดี ทาคำ,F,2008,0947314014,2025-05-22,cmu
M0081,สิทธิชัย ยอดเมือง,M,1979,0686396688,2023-03-27,nimman
M0082,ชยพล บุญมา,M,2004,0966912952,2023-11-14,cmu
M0083,เบญญาภา สุวรรณรัตน์,F,2001,0869136665,2025-01-17,cmu
M0084,ปกรณ์ จันทร์แก้ว,M,1994,0909234877,2023-09-17,nimman
M0085,อัญชิสา ใจดี,F,1992,0645406799,2024-06-22,thaphae
M0086,เบญญาภา ศรีสุข,F,2003,0804564593,2024-06-24,cmu
M0087,อัญชิสา พรหมมา,F,2008,0914210506,2024-04-17,cmu
M0088,พิมพ์ชนก ใจมา,F,2006,0859119914,2024-11-17,cmu
M0089,ชนิดา แก้วมณี,F,1996,0871229951,2025-04-07,nimman
M0090,ณัฐธิดา สมบูรณ์,F,2008,0623262657,2025-12-23,thaphae
M0091,มณีรัตน์ เรือนคำ,F,1995,0684932356,2025-06-30,thaphae
M0092,สมชาย จันทร์หอม,M,1978,0999957920,2023-12-18,nimman
M0093,ปวีณา ปิ่นแก้ว,F,2005,0964467834,2023-12-29,cmu
M0094,ศุภชัย จันทร์แก้ว,M,2006,0640217951,2023-01-24,nimman
M0095,นพดล จันทร์หอม,M,1990,0626000958,2023-01-24,nimman
M0096,ธนากร มีสุข,M,2005,0846430486,2025-09-04,thaphae
M0097,อนุชา ปิ่นแก้ว,M,1986,0956182861,2025-03-04,nimman
M0098,เบญญาภา อินต๊ะ,F,2008,0939473727,2023-02-20,cmu
M0099,สุภาวดี เชียงทอง,F,1992,0845626675,2025-06-06,nimman
M0100,เอกชัย จันทร์แก้ว,M,2007,0966210825,2024-05-13,cmu
M0101,ธนวัฒน์ คำมูล,M,2008,0994269503,2025-10-09,cmu
M0102,นพดล แสงทอง,M,1991,0691929157,2023-03-27,thaphae
M0103,ชนิดา มอรสิล,F,2008,0946551677,2023-03-24,thaphae
M0104,ปิยะดา ศรีวิชัย,F,2003,0655399170,2024-02-09,cmu
M0105,วรเมธ คำมูล,M,1996,0995702986,2024-02-19,nimman
M0106,อนุชา ปัญญาดี,M,2000,0991206695,2023-06-14,thaphae
M0107,เบญญาภา เชียงทอง,F,2001,0804477125,2024-01-02,nimman
M0108,อรอุมา กาวิละ,F,2002,0848926113,2025-08-27,thaphae
M0109,สิทธิชัย มีสุข,M,2006,0861052412,2024-04-27,cmu
M0110,ธิดารัตน์ ปัญญาดี,F,2006,0906633367,2023-04-29,cmu
M0111,กฤษดา สายสุข,M,1988,0837803852,2024-10-11,nimman
M0112,ปิยะดา กาวิละ,F,1999,0647107893,2023-01-25,nimman
M0113,ณัฐธิดา ดวงดี,F,2005,0675629997,2023-02-16,cmu
M0114,อัญชิสา ปันแก้ว,F,2005,0630910041,2025-07-11,cmu
M0115,พัชรินทร์ สมบูรณ์,F,1977,0840120799,2023-10-19,nimman
M0116,เอกชัย ศรีสุข,M,2004,0897599928,2024-07-06,cmu
M0117,นพดล บุญมา,M,1987,0988335992,2023-07-24,thaphae
M0118,กฤษดา ใจดี,M,1991,0927641563,2023-10-16,nimman
M0119,ชยพล ปัญญาดี,M,1975,0946318052,2023-08-23,nimman
M0120,ชยพล สุวรรณรัตน์,M,1986,0945192673,2023-05-24,thaphae
M0121,อัญชิสา อินต๊ะ,F,2008,0874769435,2023-06-28,thaphae
M0122,ปวีณา พรหมมา,F,2006,0963009622,2023-02-13,cmu
M0123,อนุชา ดวงดี,M,1995,0603221934,2024-02-26,nimman
M0124,อนุชา สมบูรณ์,M,1989,0902227593,2025-10-13,nimman
M0125,นันทนา ธรรมวงศ์,F,2007,0870778481,2024-04-20,cmu
M0126,นันทนา ปัญญาดี,F,2004,0894099470,2023-04-13,cmu
M0127,ธนากร ใจมา,M,2006,0678658307,2023-10-30,cmu
M0128,พงศกร ทองดี,M,2004,0929384081,2023-10-24,cmu
M0129,นพดล วงศ์ใหญ่,M,1988,0650442350,2023-06-16,thaphae
M0130,พัชรินทร์ หลวงแสน,F,1989,0989269074,2025-11-25,nimman
M0131,สิทธิชัย ศักดิ์ดี,M,1990,0912835321,2025-10-14,thaphae
M0132,ปวีณา ปันแก้ว,F,1999,0803518005,2024-07-14,nimman
M0133,รัชนีกร ทาคำ,F,2000,0992821231,2024-10-05,nimman
M0134,ธนากร บัวบาน,M,2007,0617974382,2024-06-12,cmu
M0135,สมชาย ศรีสุข,M,1967,0996933336,2024-05-10,thaphae
M0136,ชยพล ธรรมวงศ์,M,2005,0624760501,2024-12-16,cmu
M0137,วรรณภา ทองดี,F,2008,0698748418,2023-12-17,nimman
M0138,สุภาวดี อุดมศักดิ์,F,1986,0604352631,2023-08-04,nimman
M0139,กัญญาณัฐ ธรรมวงศ์,F,1994,0836597032,2024-10-05,nimman
M0140,ศิริพร แก้วมณี,F,1997,0673074965,2025-12-16,thaphae
M0141,ธนากร บุญมา,M,2007,0817705078,2025-08-09,cmu
M0142,ปวีณา สุวรรณรัตน์,F,2005,0985800057,2023-08-25,cmu
M0143,เบญญาภา มอรสิล,F,1988,0818377326,2023-04-13,thaphae
M0144,ธิดารัตน์ ใจดี,F,2001,0821917562,2023-12-03,thaphae
M0145,เอกชัย นันทะ,M,2007,0908097993,2025-04-08,nimman
M0146,อรอุมา บัวบาน,F,2003,0837554256,2025-09-10,cmu
M0147,สิทธิชัย คำแสน,M,1991,0817312211,2025-04-16,thaphae
M0148,สุภาวดี สมบูรณ์,F,2005,0600470223,2025-12-15,cmu
M0149,สมชาย ปัญญาดี,M,1997,0948513383,2023-06-01,nimman
M0150,กัญญาณัฐ บุญมา,F,2004,0635560316,2023-03-17,cmu
M0151,ธีรภัทร คำมูล,M,2003,0809878003,2023-01-27,cmu
M0152,มณีรัตน์ คำแสน,F,2008,0957427840,2024-07-02,nimman
M0153,วีรภาพ เชียงทอง,M,1985,0602408169,2025-01-20,thaphae
M0154,กิตติพัฒน์ ปิ่นแก้ว,M,1972,0952443637,2023-10-02,nimman
M0155,ธนวัฒน์ เชียงทอง,M,2008,0865146980,2023-09-18,nimman
M0156,พงศกร มีสุข,M,1997,0871920371,2023-03-20,nimman
M0157,อรอุมา ศักดิ์ดี,F,2008,0903519923,2023-07-27,cmu
M0158,รัชนีกร วงศ์ใหญ่,F,1987,0876748382,2023-09-28,nimman
M0159,สิทธิชัย ปิ่นแก้ว,M,2003,0995699441,2024-08-11,cmu
M0160,ภาคิน วงศ์ใหญ่,M,2003,0651089710,2023-08-05,cmu
M0161,ปกรณ์ ปัญญาดี,M,2006,0671006862,2025-04-09,cmu
M0162,พิมพ์ชนก ปันแก้ว,F,2006,0939619051,2024-12-28,thaphae
M0163,สุภาวดี หลวงแสน,F,2008,0910265348,2024-09-17,cmu
M0164,ธนากร นันทะ,M,1998,0653667162,2025-05-15,nimman
M0165,ปวีณา ทาคำ,F,2007,0611285985,2025-01-13,cmu
M0166,พิมพ์ชนก ดวงดี,F,2008,0878835952,2024-01-06,nimman
M0167,ธิดารัตน์ อินต๊ะ,F,2008,0952330713,2023-07-31,cmu
M0168,พิมพ์ชนก คำแสน,F,1993,0629123088,2024-02-24,nimman
M0169,เบญญาภา กาวิละ,F,2007,0841099986,2024-07-25,cmu
M0170,วีรภาพ บุญมา,M,2004,0641066794,2025-06-26,cmu
M0171,สิทธิชัย อินทร์แก้ว,M,1988,0990576846,2024-04-04,nimman
M0172,ธนวัฒน์ พรหมมา,M,2004,0883102959,2023-08-24,nimman
M0173,กัญญาณัฐ ศักดิ์ดี,F,1987,0662941990,2025-09-15,nimman
M0174,ปิยะดา ใจมา,F,2008,0965650099,2024-10-03,thaphae
M0175,ธนากร อุดมศักดิ์,M,2006,0653504538,2023-10-01,cmu
M0176,พงศกร ปันแก้ว,M,2004,0916392552,2024-06-30,cmu
M0177,สมหญิง หลวงแสน,F,2007,0969022248,2023-02-03,cmu
M0178,สมหญิง ปันแก้ว,F,2002,0856633407,2023-04-20,cmu
M0179,ณัฐธิดา เรือนคำ,F,2005,0956748351,2024-11-09,cmu
M0180,นันทนา จันทร์แก้ว,F,2006,0883071306,2024-05-02,cmu
M0181,ธนวัฒน์ บัวบาน,M,1982,0848768768,2023-05-17,nimman
M0182,สุภาวดี ศรีสุข,F,2007,0949959448,2024-12-31,nimman
M0183,อรอุมา ทาคำ,F,2006,0814682760,2024-01-20,cmu
M0184,รัชนีกร ทองดี,F,2008,0870214213,2025-07-31,thaphae
M0185,พิมพ์ชนก กาวิละ,F,1992,0693259951,2024-04-07,thaphae
M0186,ภูมิพัฒน์ นันทะ,M,2005,0629054885,2024-11-21,cmu
M0187,ศุภชัย ปิ่นแก้ว,M,2007,0922831778,2025-04-12,cmu
M0188,พัชรินทร์ บุญมา,F,2004,0683797061,2025-07-15,cmu
M0189,ศุภชัย กาวิละ,M,1986,0970499234,2024-09-11,thaphae
M0190,ภูมิพัฒน์ วงศ์ใหญ่,M,1980,0639352145,2025-06-01,nimman
M0191,ชยพล กันยา,M,2004,0943654234,2024-05-31,thaphae
M0192,อัญชิสา ศรีวิชัย,F,2004,0686703685,2025-07-23,cmu
M0193,อัญชิสา ทองดี,F,1994,0673276124,2024-07-13,nimman
M0194,จิรายุ แสงทอง,M,1992,0894811885,2023-02-05,thaphae
M0195,เบญญาภา ใจดี,F,1998,0650378570,2024-05-27,nimman
M0196,กิตติพัฒน์ วงค์ชัย,M,1997,0968902328,2023-06-02,thaphae
M0197,เอกชัย ศรีวิชัย,M,1993,0994045559,2025-06-03,thaphae
M0198,วรเมธ ยอดเมือง,M,1996,0878731135,2025-09-04,nimman
M0199,วีรภาพ กาวิละ,M,1986,0835254710,2024-08-02,nimman
M0200,อัญชิสา ปิ่นแก้ว,F,2008,0885127834,2025-05-07,cmu
M0201,ชยพล คำแสน,M,2008,0609207581,2023-03-30,nimman
M0202,ปวีณา ใจดี,F,1980,0965655467,2025-10-03,thaphae
M0203,กฤษดา ไชยวงศ์,M,1985,0995406088,2025-12-21,nimman
M0204,อัญชิสา มีสุข,F,1993,0802763665,2024-07-16,nimman
