member_id,full_name,gender,birth_year,phone,register_date,home_branch
M0001,วรรณภา สุวรรณรัตน์,F,2007,+66643327781,2024-06-21,cmu
M0002,เอกชัย สุขสวัสดิ์,M,1992,060 313 5205,2023-02-27,thaphae
M0003,สิทธิชัย วงศ์ใหญ่,M,,+66803678310,2023-06-10,nimman
M0004,ปวีณา สุขสวัสดิ์,F,1995,0980043575,2023-10-09,thaphae
M0005,กมลชนก ศรีสุข,F,2005,064-334-2626,2025-04-02,cmu
M0006,นพดล คำแสน,M,1996,+66810803698,2023-05-31,nimman
M0007,ภาคิน เชียงทอง,M,,088 999 8416,2023-08-30,cmu
M0008,ณัฐวุฒิ ยอดเมือง,M,2008,085-753-8374,2023-01-30,cmu
M0009,วรรณภา ปัญญาดี,F,2008,+66922427183,2024-09-06,nimman
M0010,นพดล แก้วมณี,M,1989,083 456 6803,2023-01-02,nimman
M0011,ชนิดา อินทร์แก้ว,F,,+66618804848,2025-10-21,nimman
M0012,ชยพล อินทร์แก้ว,M,1975,091-360-2804,2023-08-15,nimman
M0013,ปกรณ์ ปิ่นแก้ว,M,2006,098 133 3205,2024-01-27,cmu
M0014,สุภาวดี พรหมมา,F,1997,+66680960710,2023-05-07,nimman
M0015,กฤษดา นันทะ,M,2003,067-186-5194,2023-02-18,cmu
M0016,กิตติพัฒน์ สมบูรณ์,M,2007,0859891893,2024-06-30,cmu
M0017,ธิดารัตน์ เชียงทอง,F,2005,063-754-1632,2023-07-31,cmu
M0018,กมลชนก เรือนคำ,F,,+66936444863,2025-10-11,nimman
M0019,อนุชา บุญมา,M,2007,084 953 4263,2024-08-30,thaphae
M0020,เอกชัย แสงทอง,M,1993,0903157938,2023-08-23,nimman
M0021,พัชรินทร์ ธรรมวงศ์,F,2006,098 991 5169,2023-02-27,cmu
M0022,ศุภชัย แสงทอง,M,1989,0659060969,2024-09-08,thaphae
M0023,ชนิดา เรือนคำ,F,2008,084-244-0579,2023-12-29,nimman
M0024,นพดล ศรีวิชัย,M,1985,082 614 7142,2024-08-10,thaphae
M0025,จิราพร คำแสน,F,1998,061-959-8531,2023-04-21,thaphae
M0026,ศิริพร กาวิละ,F,1995,099-769-4931,2024-04-02,thaphae
M0027,ธิดารัตน์ อุดมศักดิ์,F,1999,082-737-8009,2024-07-23,nimman
M0028,ศิริพร คำแสน,F,2007,096 137 6105,2024-05-20,cmu
M0029,ธีรภัทร แก้วมณี,M,2006,0914310591,2024-03-19,cmu
M0030,สมหญิง แก้วมณี,F,1988,096 988 6341,2024-04-17,thaphae
M0031,นันทนา คำมูล,F,2002,099 602 7535,2025-09-15,nimman
M0032,ชนิดา อินต๊ะ,F,2004,061-200-8917,2024-08-08,nimman
M0033,สมหญิง จันทร์หอม,F,1995,064 901 9237,2023-07-27,thaphae
M0034,พัชรินทร์ กันยา,F,1981,0681758196,2025-07-11,nimman
M0035,นพดล สมบูรณ์,M,1989,0853598294,2025-02-10,thaphae
M0036,ณัฐธิดา ศรีสุข,,2006,083-131-0705,2025-05-03,cmu
M0037,ปิยะดา กันยา,F,,080-318-2298,2023-08-28,cmu
M0038,ธิดารัตน์ สายสุข,F,2008,082 503 1901,2023-08-02,cmu
M0039,กัญญาณัฐ ศรีสุข,F,2004,+66967258866,2025-08-04,cmu
M0040,ธนากร ศรีสุข,M,2000,+66924469833,2025-04-23,thaphae
M0041,เอกชัย อินทร์แก้ว,M,2003,0861614827,2025-03-01,cmu
M0042,ณัฐธิดา อินต๊ะ,F,2001,0615455059,2024-04-23,nimman
M0043,กัญญาณัฐ วงศ์ใหญ่,F,1982,064-907-5227,2024-11-29,thaphae
M0044,มณีรัตน์ เชียงทอง,F,1979,098-247-0887,2024-12-10,nimman
M0045,ภาคิน ทองดี,M,2006,088-763-3467,2025-01-05,cmu
M0046,กิตติพัฒน์ สุวรรณรัตน์,M,1988,098-350-7445,2023-08-24,thaphae
M0047,ชยพล อินต๊ะ,M,2003,096 172 8725,2023-05-02,cmu
M0048,ธนากร วงศ์ใหญ่,M,1977,0923518771,2025-02-14,thaphae
M0049,พงศกร สุวรรณรัตน์,,2005,0613223317,2024-08-25,nimman
M0050,ภูมิพัฒน์ ไชยวงศ์,M,2008,087-571-8244,2025-06-17,cmu
M0051,นพดล ปันแก้ว,M,1990,084 337 2971,2023-12-10,nimman
M0052,อนุชา ศักดิ์ดี,M,1988,0638392570,2025-10-15,nimman
M0053,พัชรินทร์ สุวรรณรัตน์,F,,099-464-8895,2025-05-16,cmu
M0054,อนุชา แก้วมณี,M,2006,0944444457,2024-08-27,cmu
M0055,สมชาย ศักดิ์ดี,M,,087-087-9681,2025-09-01,thaphae
M0056,พงศกร แสงทอง,M,1993,066 694 3956,2023-11-21,nimman
M0057,สิทธิชัย สุวรรณรัตน์,M,1999,+66997408066,2023-07-30,nimman
M0058,ณัฐธิดา คำมูล,F,1994,069-712-6984,2023-09-15,nimman
M0059,อัญชิสา นันทะ,F,1991,+66849462776,2025-04-25,nimman
M0060,มณีรัตน์ บุญมา,F,2004,060-553-9802,2023-08-16,nimman
M0061,มณีรัตน์ สายสุข,F,2007,+66833713211,2023-08-03,cmu
M0062,วรรณภา ปันแก้ว,,2008,096-761-9146,2024-03-17,cmu
M0063,กฤษดา จันทร์แก้ว,M,2002,087-904-4121,2023-07-22,thaphae
M0064,อนุชา ธรรมวงศ์,M,2005,089 586 2621,2023-10-06,cmu
M0065,วรรณภา ทาคำ,F,1988,062-486-3200,2023-06-27,nimman
M0066,สมหญิง วงศ์ใหญ่,F,,099 682 8025,2023-02-25,cmu
M0067,นพดล สุขสวัสดิ์,M,2000,0976117191,2025-03-08,thaphae
M0068,จิราพร ปัญญาดี,,2006,+66670817624,2023-05-10,cmu
M0069,จิราพร อุดมศักดิ์,F,1994,+66958387997,2023-09-28,nimman
M0070,พิมพ์ชนก ธรรมวงศ์,F,2006,0613749078,2025-10-02,cmu
M0071,จิรายุ อินทร์แก้ว,M,,094-092-0546,2025-08-16,thaphae
M0072,ธิดารัตน์ สุวรรณรัตน์,,1993,0994873272,2024-01-04,nimman
M0073,เบญญาภา บัวบาน,,2007,0604297356,2024-06-26,cmu
M0074,อนุชา ทองดี,M,1997,060 834 9803,2025-03-31,nimman
M0075,ปิยะดา สายสุข,F,1997,082 554 7727,2023-09-10,nimman
M0076,ปิยะดา ทาคำ,,1997,086 379 5141,2024-05-07,nimman
M0077,ภาคิน สุวรรณรัตน์,M,2006,+66680395112,2025-11-30,cmu
M0078,ศิริพร สมบูรณ์,F,1997,061 221 0113,2023-03-20,thaphae
M0079,ณัฐวุฒิ มีสุข,,1992,098-750-7064,2025-08-23,thaphae
M0080,สุภาวดี ทาคำ,F,2008,+66947314014,2025-05-22,cmu
M0081,สิทธิชัย ยอดเมือง,M,1979,068 639 6688,2023-03-27,nimman
M0082,ชยพล บุญมา,M,2004,096 691 2952,2023-11-14,cmu
M0083,เบญญาภา สุวรรณรัตน์,F,2001,086-913-6665,2025-01-17,cmu
M0084,ปกรณ์ จันทร์แก้ว,M,,090 923 4877,2023-09-17,nimman
M0085,อัญชิสา ใจดี,F,1992,0645406799,2024-06-22,thaphae
M0086,เบญญาภา ศรีสุข,F,2003,0804564593,2024-06-24,cmu
M0087,อัญชิสา พรหมมา,F,2008,091 421 0506,2024-04-17,cmu
M0088,พิมพ์ชนก ใจมา,F,,0859119914,2024-11-17,cmu
M0089,ชนิดา แก้วมณี,,,087-122-9951,2025-04-07,nimman
M0090,ณัฐธิดา สมบูรณ์,F,2008,0623262657,2025-12-23,thaphae
M0091,มณีรัตน์ เรือนคำ,F,,0684932356,2025-06-30,thaphae
M0092,สมชาย จันทร์หอม,M,1978,+66999957920,2023-12-18,nimman
M0093,ปวีณา ปิ่นแก้ว,F,2005,+66964467834,2023-12-29,cmu
M0094,ศุภชัย จันทร์แก้ว,M,2006,+66640217951,2023-01-24,nimman
M0095,นพดล จันทร์หอม,M,1990,062-600-0958,2023-01-24,nimman
M0096,ธนากร มีสุข,M,2005,084-643-0486,2025-09-04,thaphae
M0097,อนุชา ปิ่นแก้ว,M,1986,+66956182861,2025-03-04,nimman
M0098,เบญญาภา อินต๊ะ,F,2008,+66939473727,2023-02-20,cmu
M0099,สุภาวดี เชียงทอง,F,1992,0845626675,2025-06-06,nimman
M0100,เอกชัย จันทร์แก้ว,,2007,096 621 0825,2024-05-13,cmu
M0101,ธนวัฒน์ คำมูล,M,2008,099-426-9503,2025-10-09,cmu
M0102,นพดล แสงทอง,M,1991,0691929157,2023-03-27,thaphae
M0103,ชนิดา มอรสิล,F,2008,+66946551677,2023-03-24,thaphae
M0104,ปิยะดา ศรีวิชัย,F,2003,0655399170,2024-02-09,cmu
M0105,วรเมธ คำมูล,M,1996,099-570-2986,2024-02-19,nimman
M0106,อนุชา ปัญญาดี,M,2000,+66991206695,2023-06-14,thaphae
M0107,เบญญาภา เชียงทอง,F,,080-447-7125,2024-01-02,nimman
M0108,อรอุมา กาวิละ,F,2002,+66848926113,2025-08-27,thaphae
M0109,สิทธิชัย มีสุข,M,2006,086 105 2412,2024-04-27,cmu
M0110,ธิดารัตน์ ปัญญาดี,F,2006,+66906633367,2023-04-29,cmu
M0111,กฤษดา สายสุข,M,1988,0837803852,2024-10-11,nimman
M0112,ปิยะดา กาวิละ,F,,+66647107893,2023-01-25,nimman
M0113,ณัฐธิดา ดวงดี,F,,067 562 9997,2023-02-16,cmu
M0114,อัญชิสา ปันแก้ว,F,2005,063 091 0041,2025-07-11,cmu
M0115,พัชรินทร์ สมบูรณ์,F,1977,084 012 0799,2023-10-19,nimman
M0116,เอกชัย ศรีสุข,M,2004,0897599928,2024-07-06,cmu
M0117,นพดล บุญมา,M,,098-833-5992,2023-07-24,thaphae
M0118,กฤษดา ใจดี,M,1991,+66927641563,2023-10-16,nimman
M0119,ชยพล ปัญญาดี,M,1975,094 631 8052,2023-08-23,nimman
M0120,ชยพล สุวรรณรัตน์,M,1986,094 519 2673,2023-05-24,thaphae
M0121,อัญชิสา อินต๊ะ,F,,+66874769435,2023-06-28,thaphae
M0122,ปวีณา พรหมมา,F,2549,096 300 9622,2023-02-13,cmu
M0123,อนุชา ดวงดี,M,1995,0603221934,2024-02-26,nimman
M0124,อนุชา สมบูรณ์,M,1989,0902227593,2025-10-13,nimman
M0125,นันทนา ธรรมวงศ์,F,2007,087 077 8481,2024-04-20,cmu
M0126,นันทนา ปัญญาดี,F,2004,089-409-9470,2023-04-13,cmu
M0127,ธนากร ใจมา,M,2006,067-865-8307,2023-10-30,cmu
M0128,พงศกร ทองดี,M,2004,092 938 4081,2023-10-24,cmu
M0129,นพดล วงศ์ใหญ่,,1988,0650442350,2023-06-16,thaphae
M0130,พัชรินทร์ หลวงแสน,,1989,098 926 9074,2025-11-25,nimman
M0131,สิทธิชัย ศักดิ์ดี,M,1990,091-283-5321,2025-10-14,thaphae
